track_genre,tempo,energy,danceability,loudness,valence,popularity,genre_encoded
acoustic,-0.861316914,-2.049001313,-0.505932918,-1.136343021,-0.752395318,0.930791414,0
acoustic,0.030265542,0.574950499,0.093345421,1.017420681,0.381601786,1.782623658,0
acoustic,-1.56763115,-1.39301336,-0.102572498,-1.033546138,-0.378253416,0.213458999,0
acoustic,-1.643086086,-0.605827816,-0.857432713,-0.022676986,-0.29339649,0.885958138,0
acoustic,-0.032046492,-2.072855421,-0.396449376,-1.881371879,-0.52482447,0.97562469,0
acoustic,-0.607398714,-2.013220152,1.165131681,-0.75358867,-0.01182578,0.347958826,0
acoustic,0.471486775,-0.685341508,-0.765236046,0.081511731,-1.609450272,0.572125206,0
acoustic,-0.088354154,-1.762752025,-0.661514795,-0.221709248,-0.991537564,1.334290898,0
acoustic,-0.951582632,-0.562095286,-0.131383956,0.001183026,-1.145822884,1.468790726,0
acoustic,-0.572406571,-1.806484555,0.548566467,-0.147942046,-0.929823436,0.930791414,0
acoustic,0.287586219,-2.033098575,-0.402211667,-1.453880007,-1.138108618,1.289457622,0
acoustic,-1.512524363,-1.39301336,-0.223580624,-0.285733612,-0.459253209,1.065291242,0
acoustic,1.188208589,-0.474630226,-0.609654169,0.148319763,-0.108254105,1.558457278,0
acoustic,-1.161201914,-0.538241179,-0.482883751,0.437622402,0.890743343,1.289457622,0
acoustic,-0.287232281,-0.868222998,-1.007252298,0.088669734,-0.71768112,0.885958138,0
acoustic,-1.164170742,-1.754800656,-0.84590813,-2.101281651,-1.195965613,0.482458654,0
acoustic,-0.941475274,0.29665258,0.519755008,0.513775605,-0.150682568,1.065291242,0
acoustic,-0.675748476,-1.814435924,-0.413736251,-1.106518007,-1.072537357,0.841124862,0
acoustic,-1.17357759,-0.566070971,-0.096810206,-0.247159927,-1.273108273,0.885958138,0
acoustic,0.322111355,-1.12266681,-0.189006874,-0.209182742,-0.798680914,0.885958138,0
acoustic,-1.614632036,-0.482581595,-1.087924382,-0.538053233,-0.451538943,0.97562469,0
acoustic,-1.403578377,-1.162423655,0.22587813,-1.134951187,-1.226822677,1.468790726,0
acoustic,-1.473095656,-0.343432635,-0.465596876,-0.240001924,-1.445907832,0.706625034,0
acoustic,-1.372422361,-0.776782253,0.05877167,-0.61321227,-0.817966579,1.19979107,0
acoustic,0.790719194,-0.931833951,0.133681463,-0.163053387,-0.763966717,0.213458999,0
acoustic,-1.008290586,-1.297596931,-0.165957707,-0.35751248,-0.285682224,1.513624002,0
acoustic,0.626933282,-1.921779407,-0.690326254,0.136787424,-1.280822539,1.065291242,0
acoustic,1.705551911,-0.244040521,-0.955391673,0.278157992,0.200316535,1.19979107,0
acoustic,-0.484876177,-1.313499669,-0.373400209,-1.026388135,-0.285682224,1.379124174,0
acoustic,-0.125647972,-0.116818615,0.640763135,-0.299254285,1.47702756,-1.490205489,0
acoustic,-1.417888796,-0.935809635,0.479418966,-1.040505308,1.496313225,-1.490205489,0
acoustic,-0.822255141,-0.963639427,0.473656675,0.072564227,-0.509395938,-1.490205489,0
acoustic,-1.440738765,-0.780757937,-0.252392083,0.37777354,-0.532538736,1.244624346,0
acoustic,-0.90621627,-1.905876669,-0.165957707,-1.004317624,-0.416824746,0.75145831,0
acoustic,0.244955181,-0.84436889,-0.275441249,0.109746078,-0.301110756,0.616958482,0
acoustic,0.363908452,-2.140442058,0.104870004,-0.879450231,-1.138108618,1.110124518,0
acoustic,-0.845271899,0.483509754,0.064533962,0.682982853,-0.308825022,-0.145207209,0
acoustic,1.258926742,0.992397378,-1.981079599,0.921185301,-0.544110135,0.841124862,0
acoustic,0.465749265,-1.925755092,-1.064875216,-1.570396396,-0.964537633,0.97562469,0
acoustic,0.257364215,-1.063031541,0.433320632,-0.466672032,-1.450922105,1.513624002,0
acoustic,-1.614064957,-1.599748958,-0.753711462,-0.908877578,-1.300108204,0.52729193,0
acoustic,-1.4091491,-1.2538644,0.779058136,0.322299013,0.593744102,1.020457966,0
acoustic,-0.36782429,-1.389037676,0.150968338,-0.893965071,-0.382110549,0.168625723,0
acoustic,1.05744672,-1.810460239,-1.623817513,-0.888795402,-1.045537426,0.930791414,0
acoustic,-0.94124177,-0.065134716,0.398746882,0.072365393,-0.509395938,1.468790726,0
acoustic,0.429622963,-1.416867468,0.756008969,0.124658585,0.215745067,1.334290898,0
acoustic,-0.73959496,-0.804612045,0.197066672,0.133208422,-0.76782385,1.110124518,0
acoustic,-1.287360431,-1.365183568,-1.352989802,-1.176109707,-0.891252106,0.97562469,0
acoustic,1.590801699,-0.752928145,-1.041826049,0.10815541,-0.721538253,1.42395745,0
acoustic,-0.137923576,0.105819721,0.306550215,0.505026934,-1.122680086,1.603290554,0
acoustic,-1.070902837,-1.432770206,-0.995727715,-0.568872415,0.042174082,0.482458654,0
acoustic,1.099243818,-0.355359689,0.133681463,-0.444800355,0.620744033,0.258292275,0
acoustic,-0.139257881,0.300628264,-0.160195415,0.173770442,-1.010823229,0.930791414,0
acoustic,-0.216747631,-2.001293099,-0.137146248,-1.207326555,-0.671395524,0.482458654,0
acoustic,-0.804442172,-0.375238112,0.306550215,0.295655334,-1.026251761,1.64812383,0
acoustic,-0.408854162,-1.313499669,1.119033348,-0.464882532,0.304459126,1.379124174,0
acoustic,0.262401216,-2.064904052,0.617713968,-1.929489569,-0.520967337,0.30312555,0
acoustic,0.404671463,-1.126642494,-0.794047505,-0.162456886,-1.107251554,0.616958482,0
acoustic,0.592041212,-2.148393427,-0.638465628,-0.694137475,-1.23067981,0.30312555,0
acoustic,0.124200598,-0.29572442,0.462132091,-0.141579376,-0.385967682,0.97562469,0
acoustic,1.27563891,-1.703116756,-1.410612719,-1.323445278,-1.211394145,1.065291242,0
acoustic,-1.348838524,-1.035201749,-0.488646043,-1.12759435,-0.208539564,0.661791758,0
acoustic,1.395759698,-1.726970864,-1.001490007,-0.717003319,-0.817966579,0.930791414,0
acoustic,0.91787844,-1.726970864,-0.828621255,-0.109766028,-1.022394628,0.885958138,0
acoustic,0.730775552,-1.945633515,-0.258154374,-1.339550785,-1.315536736,1.19979107,0
acoustic,0.386591634,-1.3055483,-0.114097081,0.055066885,-0.821823712,0.930791414,0
acoustic,1.600708912,-1.273742823,-0.361875625,-1.103137838,0.397030318,1.289457622,0
acoustic,0.567723508,-1.909852354,-0.580842711,-1.240531738,-1.168965682,0.796291586,0
acoustic,0.260199613,-1.43674589,0.300787923,-0.393501331,-0.702252588,1.244624346,0
acoustic,0.865240116,-0.84436889,0.168255213,-0.377992323,-0.945251968,0.796291586,0
